Surname, Name, E-mail, Password, Date Of Birth, Role, (Child)
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
k,k,k,k,1/1/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
k,k,k,k,1/1/2000,Student,None
h,h,h,h,1/1/2000,Parent,k
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
stud,name,student@example.com,secret,15/6/2000,Student,None
stud,name,yo,big,15/6/2000,Student,None
